,ISO Date,ISO3 codes,COVID 19 Event,Conflict Event,Perpetrator category,Weapons use,Total health worker killed,Total health worker kidnapped,Deprivation of Liberty,Total health worker arrested,Total health worker threatened,Total health worker injured,Total health worker assaulted,Total health worker discriminated against,Total health worker sexual violence,Total health worker missing,Total health worker tortured
128,2020-02-17 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2020-02-18 00:00:00,MLI,NotApplicable,ConflictEvent,nonstateactor,Firearm,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2020-02-18 00:00:00,PAK,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2020-02-18 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2020-02-19 00:00:00,CMR,NotApplicable,ConflictEvent,stateforces,Firearm,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2020-02-20 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2020-02-21 00:00:00,MOZ,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2020-02-21 00:00:00,NGA,NotApplicable,ConflictEvent,noinformation,Other,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2020-02-21 00:00:00,SSD,NotApplicable,ConflictEvent,stateforces,NoInformation,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,2020-02-21 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2020-02-21 00:00:00,YEM,NotApplicable,ConflictEvent,nonstateactor,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2020-02-21 00:00:00,COD,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,6.0,NoInformation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2020-02-22 00:00:00,SSD,NotApplicable,ConflictEvent,nonstateactor,Other,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2020-02-23 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2020-02-23 00:00:00,SYR,NotApplicable,ConflictEvent,noinformation,Firearm,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2020-02-24 00:00:00,MDG,NotApplicable,ConflictEvent,nonstateactor,NoInformation,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
146,2020-02-25 00:00:00,AFG,NotApplicable,ConflictEvent,noinformation,NoWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2020-02-25 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
148,2020-02-25 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2020-02-26 00:00:00,PSE,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
150,2020-02-26 00:00:00,PSE,NotApplicable,ConflictEvent,noinformation,NoInformation,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,2020-02-26 00:00:00,SYR,NotApplicable,ConflictEvent,stateforces,ExplosiveWeapons,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
